site_id,year,treatment,yield_bu_acre,plantN_lb_acre
3147,2018,Reduced N fertilizer,191,167.4
3147,2018,Grower Standard Practice,177,161.2
3151,2018,Reduced N fertilizer,193.1,165.7
3151,2018,Grower Standard Practice,193.4,166.1
3155,2018,Reduced N fertilizer,194.3,166
3155,2018,Grower Standard Practice,195.5,167.7
3156,2017,Reduced N fertilizer,197.5,178.6
3156,2017,Grower Standard Practice,207.5,190.1
3166,2017,Reduced N fertilizer,205.2,184.5
3166,2017,Grower Standard Practice,218.4,196.7
3181,2018,Reduced N fertilizer,188,165.5
3181,2018,Grower Standard Practice,170.5,156.9
3189,2018,Reduced N fertilizer,193.6,169.7
3189,2018,Grower Standard Practice,180.7,163.6
3211,2018,Reduced N fertilizer,196.9,176.5
3211,2018,Grower Standard Practice,188.1,174.8
3215,2018,Reduced N fertilizer,197.3,180.5
3215,2018,Grower Standard Practice,182,174.9
3229,2018,Reduced N fertilizer,191.9,163.7
3229,2018,Grower Standard Practice,195.3,168.2
3258,2017,Reduced N fertilizer,212.9,186.5
3258,2017,Grower Standard Practice,214.8,191
3270,2017,Reduced N fertilizer,200,185.5
3270,2017,Grower Standard Practice,200.2,188.7
3276,2017,Reduced N fertilizer,218.4,184.6
3276,2017,Grower Standard Practice,223.2,206.3
3283,2018,Reduced N fertilizer,215.4,183.5
3283,2018,Grower Standard Practice,223.1,190.3
3290,2017,Reduced N fertilizer,207.7,179.8
3290,2017,Grower Standard Practice,207.9,180.7
3293,2018,Reduced N fertilizer,197.9,183.7
3293,2018,Grower Standard Practice,199.6,187.5
3299,2018,Reduced N fertilizer,196.6,167.7
3299,2018,Grower Standard Practice,197.8,178.4
3318,2017,Reduced N fertilizer,219.3,184.9
3318,2017,Grower Standard Practice,223,206.8
3333,2018,Reduced N fertilizer,217.1,169.8
3333,2018,Grower Standard Practice,224.4,188.6
3339,2018,Reduced N fertilizer,226.3,181.3
3339,2018,Grower Standard Practice,229.5,197.1
3341,2018,Reduced N fertilizer,212.3,170.1
3341,2018,Grower Standard Practice,221.8,185.7
3345,2018,Reduced N fertilizer,217.7,173.2
3345,2018,Grower Standard Practice,227.5,191.4
3350,2017,Reduced N fertilizer,228,200.6
3350,2017,Grower Standard Practice,231.6,217.3
3368,2017,Reduced N fertilizer,225.9,191.8
3368,2017,Grower Standard Practice,232.2,213.5
3376,2018,Reduced N fertilizer,211,168.3
3376,2018,Grower Standard Practice,228,189.1
3410,2018,Reduced N fertilizer,215.3,175.2
3410,2018,Grower Standard Practice,229.8,194.8
3426,2017,Reduced N fertilizer,220.1,196.3
3426,2017,Grower Standard Practice,221,213.3
3435,2018,Reduced N fertilizer,216.3,178.3
3435,2018,Grower Standard Practice,227.2,200.4
3447,2018,Reduced N fertilizer,207.3,161.5
3447,2018,Grower Standard Practice,228.6,184.9
3459,2018,Reduced N fertilizer,214.9,175.1
3459,2018,Grower Standard Practice,228.6,195.7
3460,2017,Reduced N fertilizer,226.1,198.2
3460,2017,Grower Standard Practice,228.7,214.4
3478,2017,Reduced N fertilizer,224.4,191.6
3478,2017,Grower Standard Practice,228.7,209.6
3490,2018,Reduced N fertilizer,213.3,166.8
3490,2018,Grower Standard Practice,232,190
3503,2018,Reduced N fertilizer,207.1,161.7
3503,2018,Grower Standard Practice,223.8,185.5
3514,2018,Reduced N fertilizer,212.6,169.8
3514,2018,Grower Standard Practice,224.2,192.1
3515,2017,Reduced N fertilizer,221.4,194.4
3515,2017,Grower Standard Practice,222.3,212
3547,2017,Reduced N fertilizer,199.5,168.5
3547,2017,Grower Standard Practice,200.6,170.2
3548,2018,Reduced N fertilizer,197.8,172.2
3548,2018,Grower Standard Practice,198.8,185.4
3561,2017,Reduced N fertilizer,199.7,173.1
3561,2017,Grower Standard Practice,201.9,177.2
3582,2017,Reduced N fertilizer,206.8,183.5
3582,2017,Grower Standard Practice,207.5,186.6
3594,2017,Reduced N fertilizer,215.8,185.6
3594,2017,Grower Standard Practice,215.9,186.6
3606,2017,Reduced N fertilizer,200.1,172.5
3606,2017,Grower Standard Practice,201.7,176.2
3634,2018,Reduced N fertilizer,231.3,186
3634,2018,Grower Standard Practice,240.2,208.9
3637,2017,Reduced N fertilizer,233.5,194.1
3637,2017,Grower Standard Practice,237.8,214.9
3642,2018,Reduced N fertilizer,188,152.8
3642,2018,Grower Standard Practice,192.9,174.2
3651,2017,Reduced N fertilizer,212.7,178.6
3651,2017,Grower Standard Practice,215.9,184.3
3660,2017,Reduced N fertilizer,204.8,168
3660,2017,Grower Standard Practice,205.2,168.8
3662,2017,Reduced N fertilizer,218.5,189.9
3662,2017,Grower Standard Practice,221.2,210.8
3675,2018,Reduced N fertilizer,206.6,162.2
3675,2018,Grower Standard Practice,225.8,187.5
3686,2017,Reduced N fertilizer,211.3,179.1
3686,2017,Grower Standard Practice,217,191.2
3715,2017,Reduced N fertilizer,210,175.1
3715,2017,Grower Standard Practice,221.2,197.3
3726,2018,Reduced N fertilizer,195.9,163.8
3726,2018,Grower Standard Practice,198,182.1
3729,2017,Reduced N fertilizer,201,167.6
3729,2017,Grower Standard Practice,201.3,174.8
3731,2017,Reduced N fertilizer,178.2,148.8
3731,2017,Grower Standard Practice,178.5,149.5
3749,2018,Reduced N fertilizer,198.9,162.3
3749,2018,Grower Standard Practice,200.4,185
3756,2017,Reduced N fertilizer,215.4,177.8
3756,2017,Grower Standard Practice,216.3,180.5
3772,2017,Reduced N fertilizer,221.3,191.7
3772,2017,Grower Standard Practice,222.1,196.7
3773,2018,Reduced N fertilizer,196.7,167.7
3773,2018,Grower Standard Practice,201.8,182.5
3777,2018,Reduced N fertilizer,197.3,165.9
3777,2018,Grower Standard Practice,200.9,182.7
3799,2017,Reduced N fertilizer,210,172.3
3799,2017,Grower Standard Practice,211.3,175.7
3829,2017,Reduced N fertilizer,218.6,176.5
3829,2017,Grower Standard Practice,220,180.8
3830,2018,Reduced N fertilizer,199.7,179.4
3830,2018,Grower Standard Practice,200.2,187.9
3849,2017,Reduced N fertilizer,209.8,185.9
3849,2017,Grower Standard Practice,211.1,187.6
3869,2018,Reduced N fertilizer,219.2,181.9
3869,2018,Grower Standard Practice,223,201.9
3871,2018,Reduced N fertilizer,216.8,179.9
3871,2018,Grower Standard Practice,221.1,200.8
3878,2017,Reduced N fertilizer,223.5,202.2
3878,2017,Grower Standard Practice,224.2,213.8
3887,2018,Reduced N fertilizer,209.6,176.2
3887,2018,Grower Standard Practice,210.8,195.2
3892,2017,Reduced N fertilizer,212.8,176.4
3892,2017,Grower Standard Practice,216.9,184.7
3900,2017,Reduced N fertilizer,180.5,158.5
3900,2017,Grower Standard Practice,184,174
3910,2018,Reduced N fertilizer,205.2,171.9
3910,2018,Grower Standard Practice,209.8,193
3920,2018,Reduced N fertilizer,209.8,173.2
3920,2018,Grower Standard Practice,212.2,192.4
3928,2018,Reduced N fertilizer,192.3,153.3
3928,2018,Grower Standard Practice,195.4,173.4
3932,2018,Reduced N fertilizer,213.3,173.1
3932,2018,Grower Standard Practice,222,197.6
3947,2017,Reduced N fertilizer,223.3,190
3947,2017,Grower Standard Practice,225.8,205.8
3995,2017,Reduced N fertilizer,211.8,183.4
3995,2017,Grower Standard Practice,212.6,187.2
3997,2017,Reduced N fertilizer,186.9,158.8
3997,2017,Grower Standard Practice,190.1,165.1
4000,2018,Reduced N fertilizer,184.6,153.5
4000,2018,Grower Standard Practice,187.7,170.6
4017,2018,Reduced N fertilizer,187.1,163.1
4017,2018,Grower Standard Practice,188.7,175.5
4062,2018,Reduced N fertilizer,187.2,158.4
4062,2018,Grower Standard Practice,190.3,170.9
4066,2018,Reduced N fertilizer,196.4,166
4066,2018,Grower Standard Practice,199.4,180.7
4077,2017,Reduced N fertilizer,227.8,203.6
4077,2017,Grower Standard Practice,229.6,216.1
4098,2018,Reduced N fertilizer,214.4,173.3
4098,2018,Grower Standard Practice,228.8,195.7
4103,2017,Reduced N fertilizer,225.3,198.8
4103,2017,Grower Standard Practice,226.9,215.4
4105,2017,Reduced N fertilizer,225.2,193.2
4105,2017,Grower Standard Practice,228.6,212.5
4126,2018,Reduced N fertilizer,217.7,181.4
4126,2018,Grower Standard Practice,228.4,200.4
4131,2018,Reduced N fertilizer,214.7,178.2
4131,2018,Grower Standard Practice,223.4,197.7
4133,2018,Reduced N fertilizer,209.8,172.4
4133,2018,Grower Standard Practice,224.3,194.3
4144,2017,Reduced N fertilizer,226.1,193.7
4144,2017,Grower Standard Practice,230.6,213
4156,2017,Reduced N fertilizer,222.4,190.4
4156,2017,Grower Standard Practice,224.3,206.7
4164,2018,Reduced N fertilizer,215.1,173.8
4164,2018,Grower Standard Practice,225.2,196.3
4165,2017,Reduced N fertilizer,221.7,185.9
4165,2017,Grower Standard Practice,224.6,205.1
4168,2018,Reduced N fertilizer,200.9,158.3
4168,2018,Grower Standard Practice,220.1,181.8
4197,2018,Reduced N fertilizer,219.5,179.7
4197,2018,Grower Standard Practice,228.7,201.5
4203,2018,Reduced N fertilizer,198,152.3
4203,2018,Grower Standard Practice,222.1,179.4
4206,2017,Reduced N fertilizer,216.1,183.2
4206,2017,Grower Standard Practice,220.8,204.2
4217,2017,Reduced N fertilizer,221,187.1
4217,2017,Grower Standard Practice,222.7,208.5
4218,2018,Reduced N fertilizer,214.3,178.4
4218,2018,Grower Standard Practice,219.2,201.4
4220,2018,Reduced N fertilizer,213.9,169.7
4220,2018,Grower Standard Practice,218.8,193.8
4226,2018,Reduced N fertilizer,212.8,168.8
4226,2018,Grower Standard Practice,221,192.8
4228,2018,Reduced N fertilizer,211.7,167.7
4228,2018,Grower Standard Practice,221,191.8
4246,2018,Reduced N fertilizer,202.9,157.1
4246,2018,Grower Standard Practice,225.9,180.8
4249,2017,Reduced N fertilizer,208.5,175.4
4249,2017,Grower Standard Practice,210.8,189.3
4253,2018,Reduced N fertilizer,208.8,167.5
4253,2018,Grower Standard Practice,211.6,190
4255,2018,Reduced N fertilizer,205.4,172.5
4255,2018,Grower Standard Practice,211.3,194.4
4256,2017,Reduced N fertilizer,215.1,193.6
4256,2017,Grower Standard Practice,216.5,207.7
4261,2018,Reduced N fertilizer,215.1,181.2
4261,2018,Grower Standard Practice,217.4,200.4
4268,2017,Reduced N fertilizer,214.8,191.7
4268,2017,Grower Standard Practice,217.2,203.3
